Source,Destination,Protocol,Length,Type,Duration
8000,47782,TCP,52,in,0.365568
47782,8000,TCP,52,out,0.001372
8000,47782,HTTP,363,in,0.018178
47782,8000,TCP,52,out,0.00121
47782,8000,TCP,60,out,0.007415
47782,8000,HTTP,345,out,0.00006
8000,47782,TCP,60,in,0.000392
47782,8000,TCP,52,out,0.001398
47782,8000,HTTP,379,out,0.001173
8000,47782,HTTP,265,in,0.017886
47782,8000,HTTP,345,out,0.003106
8000,47782,HTTP,181,in,0.009658
47782,8000,TCP,52,out,0.001691
47782,8000,WebSocket,64,out,0.00195
8000,47782,WebSocket,60,in,0.006341
47782,8000,TCP,52,out,0.037967
8000,47782,HTTP,264,in,0.112777
47782,8000,WebSocket,59,out,0.003521
47782,8000,TCP,52,out,0.039692
47782,8000,TCP,59,out,0.212117
8000,47782,TCP,64,in,0.000496
47782,8000,WebSocket,59,out,24.591447
8000,47782,TCP,52,in,0.197935
8000,47782,WebSocket,55,in,10.035797
47782,8000,TCP,52,out,0.001197
47782,8000,WebSocket,59,out,25.034604
8000,47782,TCP,52,in,0.201676
8000,47782,WebSocket,55,in,18.62535
47782,8000,TCP,52,out,0.001367
47782,8000,WebSocket,59,out,25.041572
8000,47782,TCP,52,in,0.206495
8000,47782,WebSocket,55,in,1.591482
47782,8000,TCP,52,out,0.001459
8000,47782,WebSocket,103,in,10.217151
47782,8000,TCP,52,out,0.001339
47782,8000,WebSocket,144,out,0.002361
8000,47782,TCP,52,in,0.20258
8000,47782,TCP,52,in,3.791124
47782,8000,TCP,52,out,0.040086
47782,8000,WebSocket,59,out,10.771372
8000,47782,TCP,52,in,0.248724
8000,47782,WebSocket,55,in,7.176136
47782,8000,TCP,52,out,0.040046
47782,8000,WebSocket,59,out,24.985716
8000,47782,TCP,52,in,0.212069
8000,47782,WebSocket,55,in,2.511003
47782,8000,TCP,52,out,0.001278
47782,8000,WebSocket,59,out,25.041573
8000,47782,TCP,52,in,0.212693
8000,47782,WebSocket,95,in,14.381517
47782,8000,TCP,52,out,0.001381
8000,47782,WebSocket,95,in,0.007909
47782,8000,TCP,52,out,0.00106
8000,47782,WebSocket,95,in,0.03779
47782,8000,TCP,52,out,0.00128
47782,8000,WebSocket,127,out,0.064331
47782,8000,TCP,1400,out,0.000387
47782,8000,TCP,1400,out,0.00006
8000,47782,TCP,52,in,0.000441
47782,8000,WebSocket,1072,out,0.001091
8000,47782,TCP,52,in,0.000481
8000,47782,WebSocket,55,in,4.172622
47782,8000,TCP,52,out,0.001541
47782,8000,WebSocket,59,out,25.033359
8000,47782,WebSocket,55,in,0.000808
47782,8000,TCP,52,out,0.001397
47782,8000,WebSocket,59,out,25.044544
8000,47782,TCP,52,in,0.200354
8000,47782,WebSocket,55,in,14.446488
47782,8000,TCP,52,out,0.00159
47782,8000,WebSocket,59,out,25.041589
8000,47782,WebSocket,55,in,0.003787
47782,8000,TCP,52,out,0.001214
8000,47782,WebSocket,95,in,0.311954
47782,8000,TCP,52,out,0.001596
47782,8000,TCP,52,out,0.04435
47782,8000,TCP,52,out,0.269524
47782,8000,TCP,52,out,0.332653
47782,8000,TCP,52,out,0.614337
47782,8000,TCP,52,out,1.237152
47782,8000,TCP,52,out,2.467435
47782,8000,TCP,52,out,4.943559
47782,8000,TCP,52,out,9.873064
47782,8000,WebSocket,59,out,4.951891
8000,47782,WebSocket,55,in,0.002721
47782,8000,TCP,52,out,0.001188
47782,8000,TCP,52,out,14.788108
47782,8000,WebSocket,59,out,10.255574
8000,47782,WebSocket,55,in,0.000853
47782,8000,TCP,52,out,0.001121
47782,8000,WebSocket,59,out,25.026873
8000,47782,TCP,52,in,0.20996
47782,8000,TCP,52,out,4.057685
8000,47782,WebSocket,55,in,15.388823
47782,8000,TCP,52,out,0.001423
47782,8000,WebSocket,59,out,25.043049
8000,47782,TCP,52,in,0.212804
8000,47782,WebSocket,55,in,7.722256
47782,8000,TCP,52,out,0.001377
47782,8000,WebSocket,59,out,25.051962
8000,47782,TCP,52,in,0.28714
8000,47782,WebSocket,55,in,1.737164
47782,8000,TCP,52,out,0.001466
8000,47782,WebSocket,95,in,18.666557
47782,8000,TCP,52,out,0.001419
47782,8000,WebSocket,127,out,0.056158
47782,8000,TCP,1400,out,0.000312
8000,47782,TCP,52,in,0.000571
47782,8000,WebSocket,1138,out,0.001093
8000,47782,TCP,52,in,0.206908
8000,47782,WebSocket,95,in,4.966701
47782,8000,TCP,52,out,0.001282
47782,8000,WebSocket,127,out,0.052845
47782,8000,TCP,1400,out,0.000299
8000,47782,TCP,52,in,0.000512
47782,8000,WebSocket,1118,out,0.001015
8000,47782,TCP,52,in,0.223475
47782,8000,WebSocket,59,out,0.859616
8000,47782,TCP,52,in,0.240306
8000,47782,WebSocket,55,in,14.740957
47782,8000,TCP,52,out,0.001505
47782,8000,WebSocket,59,out,25.072461
8000,47782,TCP,52,in,0.214503
8000,47782,WebSocket,55,in,5.460307
47782,8000,TCP,52,out,0.001407
47782,8000,WebSocket,59,out,25.00854
8000,47782,TCP,52,in,0.202358
8000,47782,WebSocket,55,in,23.96408
47782,8000,TCP,52,out,0.001389
47782,8000,WebSocket,59,out,25.029774
8000,47782,TCP,52,in,0.207556
8000,47782,WebSocket,55,in,5.428022
47782,8000,TCP,52,out,0.001325
8000,47782,WebSocket,109,in,21.363212
47782,8000,TCP,52,out,0.001465
47782,8000,TCP,1401,out,0.002392
10.8.0.1,47782,ICMP,576,in,0.000032
47782,8000,TCP,1401,out,0.000029
10.8.0.1,47782,ICMP,576,in,0.000014
47782,8000,WebSocket,78,out,0.000244
8000,47782,TCP,64,in,0.000367
47782,8000,TCP,1400,out,0.000464
47782,8000,TCP,1400,out,0.000122
47782,8000,TCP,54,out,0.000271
8000,47782,TCP,64,in,0.00006
8000,47782,TCP,64,in,0.000061
8000,47782,TCP,52,in,0.000168
47782,8000,WebSocket,59,out,3.672537
8000,47782,WebSocket,55,in,0.000871
47782,8000,TCP,52,out,0.03994
47782,8000,WebSocket,59,out,25.003138
8000,47782,WebSocket,55,in,0.000723
47782,8000,TCP,52,out,0.001111
8000,47782,WebSocket,116,in,1.894501
47782,8000,TCP,52,out,0.003031
47782,8000,WebSocket,714,out,0.012873
8000,47782,TCP,52,in,0.197398
47782,8000,WebSocket,59,out,22.936293
8000,47782,WebSocket,55,in,0.004707
47782,8000,TCP,52,out,0.046599
8000,47782,WebSocket,125,in,15.652011
47782,8000,TCP,52,out,0.002033
47782,8000,WebSocket,682,out,0.005234
8000,47782,TCP,52,in,0.213068
47782,8000,WebSocket,59,out,9.14346
8000,47782,WebSocket,55,in,0.000717
47782,8000,TCP,52,out,0.040219
47782,8000,WebSocket,59,out,24.980841
8000,47782,TCP,52,in,0.209742
8000,47782,WebSocket,149,in,16.632479
47782,8000,TCP,52,out,0.001511
47782,8000,WebSocket,159,out,0.00368
47782,8000,TCP,1400,out,0.004508
47782,8000,TCP,1400,out,0.000062
47782,8000,TCP,1400,out,0.000143
8000,47782,TCP,52,in,0.000315
8000,47782,TCP,52,in,0.000083
47782,8000,TCP,1400,out,0.000031
47782,8000,TCP,1400,out,0.000664
47782,8000,TCP,1400,out,0.000106
8000,47782,TCP,52,in,0.000271
47782,8000,TCP,1400,out,0.000011
47782,8000,TCP,1400,out,0.000059
8000,47782,TCP,52,in,0.000369
47782,8000,TCP,1400,out,0.000363
47782,8000,TCP,1400,out,0.000358
8000,47782,TCP,52,in,0.000204
47782,8000,TCP,1400,out,0.000084
47782,8000,TCP,1400,out,0.000328
8000,47782,TCP,52,in,0.00019
47782,8000,TCP,1400,out,0.000088
47782,8000,TCP,1400,out,0.000368
8000,47782,TCP,52,in,0.00004
47782,8000,TCP,1400,out,0.000292
8000,47782,TCP,52,in,0.000445
47782,8000,TCP,1400,out,0.000043
47782,8000,TCP,1400,out,0.000264
47782,8000,TCP,1400,out,0.000415
8000,47782,TCP,52,in,0.000168
47782,8000,TCP,1400,out,0.000104
8000,47782,TCP,52,in,0.000445
47782,8000,TCP,1400,out,0.000042
47782,8000,TCP,1400,out,0.000298
47782,8000,TCP,1400,out,0.000299
8000,47782,TCP,52,in,0.000241
47782,8000,TCP,1400,out,0.000089
47782,8000,TCP,1400,out,0.000331
8000,47782,TCP,52,in,0.000061
47782,8000,TCP,1400,out,0.00031
47782,8000,TCP,1400,out,0.000362
8000,47782,TCP,52,in,0.000044
47782,8000,TCP,1400,out,0.000407
47782,8000,TCP,1400,out,0.000315
8000,47782,TCP,52,in,0.00017
47782,8000,TCP,1400,out,0.000093
47782,8000,TCP,1400,out,0.000352
8000,47782,TCP,52,in,0.00004
47782,8000,TCP,1400,out,0.0003
47782,8000,TCP,1400,out,0.000336
8000,47782,TCP,52,in,0.000043
47782,8000,TCP,1400,out,0.000342
47782,8000,TCP,1400,out,0.000402
8000,47782,TCP,52,in,0.000211
47782,8000,TCP,1400,out,0.000077
8000,47782,TCP,52,in,0.000444
47782,8000,TCP,1400,out,0.000037
47782,8000,TCP,1400,out,0.00028
47782,8000,TCP,1400,out,0.000362
8000,47782,TCP,52,in,0.000041
47782,8000,TCP,1400,out,0.000346
47782,8000,TCP,1400,out,0.000357
8000,47782,TCP,52,in,0.000048
47782,8000,TCP,1400,out,0.000304
47782,8000,TCP,1400,out,0.000301
8000,47782,TCP,52,in,0.000104
47782,8000,TCP,1400,out,0.000305
47782,8000,TCP,1400,out,0.000318
8000,47782,TCP,52,in,0.000039
47782,8000,TCP,1400,out,0.000306
47782,8000,TCP,1400,out,0.000325
8000,47782,TCP,52,in,0.000295
47782,8000,TCP,1400,out,0.00007
8000,47782,TCP,52,in,0.000392
47782,8000,TCP,1400,out,0.000034
47782,8000,TCP,1400,out,0.000329
8000,47782,TCP,52,in,0.000407
47782,8000,TCP,1400,out,0.000033
47782,8000,TCP,1400,out,0.000334
8000,47782,TCP,52,in,0.000419
47782,8000,TCP,1400,out,0.000033
47782,8000,TCP,1400,out,0.000385
8000,47782,TCP,52,in,0.000375
47782,8000,TCP,1268,out,0.000011
8000,47782,TCP,52,in,0.249486
47782,8000,TCP,52,out,0.375586
8000,47782,TCP,52,in,0.000446
47782,8000,TCP,52,out,0.751498
8000,47782,TCP,52,in,0.000407
47782,8000,TCP,52,out,1.507426
8000,47782,TCP,52,in,0.00039
47782,8000,TCP,52,out,3.015955
8000,47782,TCP,52,in,0.000396
8000,47782,TCP,52,in,1.34131
47782,8000,TCP,1400,out,0.001308
47782,8000,TCP,1400,out,0.000061
47782,8000,TCP,1400,out,0.00019
47782,8000,TCP,184,out,0.000063
8000,47782,TCP,52,in,0.000273
47782,8000,TCP,1400,out,0.000043
8000,47782,TCP,52,in,0.000116
47782,8000,TCP,1400,out,0.000113
47782,8000,TCP,1400,out,0.000346
8000,47782,TCP,52,in,0.00005
8000,47782,WebSocket,55,in,0.000219
47782,8000,TCP,1400,out,0.000263
47782,8000,TCP,1400,out,0.000213
8000,47782,TCP,52,in,0.000235
47782,8000,TCP,1400,out,0.00004
8000,47782,TCP,52,in,0.000403
47782,8000,TCP,1400,out,0.000019
8000,47782,TCP,52,in,0.000282
47782,8000,TCP,1400,out,0.000024
47782,8000,TCP,1400,out,0.00033
47782,8000,TCP,1400,out,0.00033
8000,47782,TCP,52,in,0.000235
47782,8000,TCP,1400,out,0.000164
8000,47782,TCP,52,in,0.000068
47782,8000,TCP,1400,out,0.000286
47782,8000,TCP,1400,out,0.000395
8000,47782,TCP,52,in,0.000059
47782,8000,TCP,1400,out,0.000126
8000,47782,TCP,52,in,0.000437
47782,8000,TCP,1400,out,0.000024
47782,8000,TCP,1400,out,0.000347
47782,8000,TCP,1400,out,0.000434
8000,47782,TCP,52,in,0.000073
47782,8000,TCP,1400,out,0.000113
8000,47782,TCP,52,in,0.000429
47782,8000,TCP,1400,out,0.000043
47782,8000,TCP,1400,out,0.000263
47782,8000,TCP,1400,out,0.000389
8000,47782,TCP,52,in,0.000185
47782,8000,TCP,1400,out,0.000086
8000,47782,TCP,52,in,0.000432
47782,8000,TCP,1400,out,0.000043
47782,8000,TCP,1400,out,0.000276
47782,8000,TCP,1400,out,0.000375
8000,47782,TCP,52,in,0.000076
47782,8000,TCP,1400,out,0.000236
47782,8000,TCP,1400,out,0.000321
8000,47782,TCP,52,in,0.000275
47782,8000,TCP,1400,out,0.000111
47782,8000,TCP,1400,out,0.000333
8000,47782,TCP,52,in,0.000101
47782,8000,TCP,1400,out,0.000144
8000,47782,TCP,52,in,0.00038
47782,8000,TCP,1400,out,0.000006
47782,8000,TCP,1400,out,0.000277
8000,47782,TCP,52,in,0.00041
47782,8000,TCP,1400,out,0.000038
47782,8000,TCP,1400,out,0.000301
8000,47782,TCP,52,in,0.00037
47782,8000,TCP,1400,out,0.000028
47782,8000,TCP,1400,out,0.000321
8000,47782,TCP,52,in,0.000417
47782,8000,TCP,1400,out,0.000035
47782,8000,TCP,1400,out,0.000277
8000,47782,TCP,52,in,0.000374
47782,8000,TCP,1400,out,0.000035
47782,8000,TCP,1400,out,0.000343
8000,47782,TCP,52,in,0.000374
47782,8000,TCP,1400,out,0.000011
47782,8000,TCP,1400,out,0.000301
8000,47782,TCP,52,in,0.000375
47782,8000,TCP,1400,out,0.000053
47782,8000,TCP,1400,out,0.000328
8000,47782,TCP,52,in,0.000372
47782,8000,TCP,1400,out,0.00003
47782,8000,TCP,1400,out,0.00024
8000,47782,TCP,52,in,0.000385
47782,8000,TCP,1400,out,0.000042
47782,8000,TCP,1400,out,0.000352
47782,8000,TCP,1400,out,0.000351
8000,47782,TCP,52,in,0.000039
47782,8000,TCP,1400,out,0.000316
8000,47782,TCP,52,in,0.000397
47782,8000,TCP,1400,out,0.000037
47782,8000,TCP,1400,out,0.000283
8000,47782,TCP,52,in,0.000419
47782,8000,TCP,1400,out,0.000041
47782,8000,TCP,1400,out,0.000291
8000,47782,TCP,52,in,0.000367
47782,8000,TCP,1400,out,0.000031
47782,8000,TCP,1400,out,0.000252
47782,8000,TCP,1400,out,0.000406
8000,47782,TCP,52,in,0.000283
47782,8000,TCP,1400,out,0.000106
47782,8000,TCP,1400,out,0.000437
8000,47782,TCP,52,in,0.000076
47782,8000,TCP,1400,out,0.000098
47782,8000,TCP,1400,out,0.000348
8000,47782,TCP,52,in,0.000065
47782,8000,TCP,56,out,0.000116
8000,47782,TCP,52,in,0.000277
47782,8000,TCP,52,out,0.246874
8000,47782,TCP,52,in,0.000379
47782,8000,TCP,52,out,0.495846
8000,47782,TCP,52,in,0.000381
47782,8000,TCP,52,out,0.991339
8000,47782,TCP,52,in,0.000369
47782,8000,TCP,52,out,1.987986
8000,47782,TCP,52,in,0.000385
47782,8000,TCP,52,out,3.975412
8000,47782,TCP,52,in,0.00032
8000,47782,TCP,52,in,3.050194
47782,8000,TCP,1400,out,0.001324
47782,8000,TCP,1400,out,0.000061
47782,8000,TCP,1400,out,0.000173
47782,8000,TCP,1400,out,0.000264
8000,47782,TCP,52,in,0.000187
47782,8000,TCP,1400,out,0.000153
8000,47782,TCP,52,in,0.000217
47782,8000,TCP,1400,out,0.000144
47782,8000,TCP,1400,out,0.000182
8000,47782,TCP,52,in,0.000253
47782,8000,TCP,1400,out,0.000103
8000,47782,TCP,52,in,0.000406
47782,8000,TCP,1400,out,0.00004
47782,8000,TCP,1400,out,0.000275
8000,47782,TCP,52,in,0.000424
47782,8000,TCP,1396,out,0.000038
47782,8000,TCP,1400,out,0.000286
8000,47782,TCP,52,in,0.000435
47782,8000,TCP,1400,out,0.000038
47782,8000,TCP,1400,out,0.000318
47782,8000,TCP,1400,out,0.0004
8000,47782,TCP,52,in,0.000089
47782,8000,TCP,1400,out,0.000222
47782,8000,TCP,1400,out,0.000394
8000,47782,TCP,52,in,0.000061
47782,8000,TCP,1400,out,0.000119
8000,47782,TCP,52,in,0.000457
47782,8000,TCP,1400,out,0.000043
47782,8000,TCP,1400,out,0.000381
47782,8000,TCP,1400,out,0.000419
8000,47782,TCP,52,in,0.000274
47782,8000,TCP,1400,out,0.000122
47782,8000,TCP,1400,out,0.000284
8000,47782,TCP,52,in,0.000238
47782,8000,TCP,1400,out,0.000115
47782,8000,TCP,1400,out,0.000366
8000,47782,TCP,52,in,0.000174
47782,8000,TCP,1400,out,0.000178
47782,8000,TCP,1400,out,0.000181
8000,47782,TCP,52,in,0.000333
47782,8000,TCP,1400,out,0.000039
47782,8000,TCP,1400,out,0.000341
8000,47782,TCP,52,in,0.000058
47782,8000,TCP,1400,out,0.000345
8000,47782,TCP,52,in,0.00042
47782,8000,TCP,1400,out,0.000036
47782,8000,TCP,1400,out,0.000246
8000,47782,TCP,52,in,0.00043
47782,8000,TCP,1400,out,0.000038
47782,8000,TCP,1400,out,0.000312
8000,47782,TCP,52,in,0.000406
47782,8000,TCP,1400,out,0.00004
47782,8000,TCP,1400,out,0.000293
8000,47782,TCP,52,in,0.000408
47782,8000,TCP,1400,out,0.000037
47782,8000,TCP,1400,out,0.000266
8000,47782,TCP,52,in,0.000413
47782,8000,TCP,1400,out,0.000037
47782,8000,TCP,1400,out,0.000266
8000,47782,TCP,52,in,0.000429
47782,8000,TCP,1400,out,0.00004
47782,8000,TCP,1400,out,0.000323
8000,47782,TCP,52,in,0.000376
47782,8000,TCP,1400,out,0.000032
47782,8000,TCP,1400,out,0.000397
8000,47782,TCP,52,in,0.000388
47782,8000,TCP,1400,out,0.00004
47782,8000,TCP,1400,out,0.000244
8000,47782,TCP,52,in,0.000392
47782,8000,TCP,1400,out,0.000045
47782,8000,TCP,1400,out,0.000434
47782,8000,TCP,1400,out,0.000198
8000,47782,TCP,52,in,0.000188
47782,8000,TCP,1400,out,0.000038
47782,8000,TCP,1400,out,0.000245
8000,47782,TCP,52,in,0.000313
47782,8000,TCP,1400,out,0.00012
47782,8000,TCP,1400,out,0.000453
8000,47782,TCP,52,in,0.000091
47782,8000,TCP,1400,out,0.000196
47782,8000,TCP,1300,out,0.000302
8000,47782,TCP,52,in,0.000164
8000,47782,TCP,52,in,0.209442
47782,8000,TCP,52,out,0.24434
8000,47782,TCP,52,in,0.000393
47782,8000,TCP,52,out,0.487312
8000,47782,TCP,52,in,0.000414
47782,8000,TCP,52,out,0.975663
8000,47782,TCP,52,in,0.000359
47782,8000,TCP,52,out,1.955967
8000,47782,TCP,52,in,0.000429
47782,8000,TCP,52,out,3.911095
8000,47782,TCP,52,in,0.000424
8000,47782,TCP,52,in,1.875027
47782,8000,TCP,1400,out,0.001434
47782,8000,TCP,1400,out,0.000065
47782,8000,TCP,1400,out,0.000152
8000,47782,TCP,52,in,0.000418
47782,8000,TCP,1400,out,0.000135
47782,8000,TCP,152,out,0.000174
47782,8000,TCP,1400,out,0.000184
8000,47782,TCP,52,in,0.000351
47782,8000,TCP,1400,out,0.000098
47782,8000,TCP,1400,out,0.000282
8000,47782,TCP,52,in,0.000154
47782,8000,TCP,1400,out,0.000091
47782,8000,TCP,1400,out,0.000243
8000,47782,TCP,52,in,0.000274
47782,8000,TCP,1400,out,0.00007
8000,47782,TCP,52,in,0.000356
47782,8000,TCP,1400,out,0.000034
47782,8000,TCP,1400,out,0.000259
8000,47782,TCP,52,in,0.000401
47782,8000,TCP,1400,out,0.000041
47782,8000,TCP,1400,out,0.000359
8000,47782,TCP,52,in,0.000526
47782,8000,TCP,1400,out,0.000039
47782,8000,TCP,1400,out,0.000094
8000,47782,TCP,52,in,0.000488
47782,8000,TCP,1400,out,0.000086
47782,8000,TCP,1400,out,0.000262
47782,8000,TCP,1400,out,0.000334
8000,47782,TCP,52,in,0.000066
47782,8000,TCP,1400,out,0.000313
8000,47782,TCP,52,in,0.000431
47782,8000,TCP,1400,out,0.000031
47782,8000,TCP,1400,out,0.000251
8000,47782,TCP,52,in,0.000431
47782,8000,TCP,1400,out,0.000039
47782,8000,TCP,1400,out,0.000297
8000,47782,TCP,52,in,0.000549
47782,8000,TCP,1400,out,0.000039
47782,8000,TCP,1400,out,0.000242
47782,8000,TCP,1400,out,0.000302
8000,47782,TCP,52,in,0.000273
47782,8000,TCP,1400,out,0.000154
8000,47782,TCP,52,in,0.000524
47782,8000,TCP,1400,out,0.000038
47782,8000,TCP,1400,out,0.000124
47782,8000,TCP,1400,out,0.000345
8000,47782,TCP,52,in,0.000205
47782,8000,TCP,1400,out,0.000178
47782,8000,TCP,1400,out,0.000219
8000,47782,TCP,52,in,0.000229
47782,8000,TCP,1400,out,0.00004
8000,47782,TCP,52,in,0.000395
47782,8000,TCP,1400,out,0.000033
47782,8000,TCP,1400,out,0.000285
8000,47782,TCP,52,in,0.0004
47782,8000,TCP,1400,out,0.00003
47782,8000,TCP,1400,out,0.000363
8000,47782,TCP,52,in,0.0004
47782,8000,TCP,1400,out,0.000038
47782,8000,TCP,1400,out,0.000485
47782,8000,TCP,1400,out,0.000357
8000,47782,TCP,52,in,0.000071
47782,8000,TCP,1400,out,0.000166
47782,8000,TCP,1400,out,0.000358
8000,47782,TCP,52,in,0.000181
47782,8000,TCP,1400,out,0.00013
47782,8000,TCP,1400,out,0.000331
8000,47782,TCP,52,in,0.000278
47782,8000,TCP,1400,out,0.000129
47782,8000,TCP,1400,out,0.000376
8000,47782,TCP,52,in,0.000105
47782,8000,TCP,1400,out,0.00044
47782,8000,TCP,1400,out,0.000181
47782,8000,TCP,1400,out,0.000205
8000,47782,TCP,52,in,0.000189
47782,8000,TCP,1400,out,0.000106
8000,47782,TCP,52,in,0.000121
47782,8000,TCP,1400,out,0.00029
47782,8000,TCP,1400,out,0.000329
8000,47782,TCP,52,in,0.000047
47782,8000,TCP,1400,out,0.000339
8000,47782,TCP,52,in,0.000419
47782,8000,TCP,1400,out,0.000037
47782,8000,TCP,56,out,0.000045
8000,47782,TCP,52,in,0.000439
47782,8000,TCP,52,out,0.212184
8000,47782,TCP,52,in,0.000419
8000,47782,TCP,52,in,0.386241
47782,8000,TCP,1400,out,0.001563
47782,8000,TCP,1400,out,0.000061
47782,8000,TCP,1400,out,0.000133
8000,47782,TCP,52,in,0.000407
47782,8000,TCP,1400,out,0.000043
8000,47782,TCP,52,in,0.00046
47782,8000,TCP,1400,out,0.000008
47782,8000,TCP,1400,out,0.000284
47782,8000,TCP,1400,out,0.000248
8000,47782,TCP,52,in,0.000251
47782,8000,TCP,1400,out,0.000123
8000,47782,TCP,52,in,0.000426
47782,8000,TCP,1400,out,0.000039
47782,8000,TCP,1400,out,0.000243
8000,47782,TCP,52,in,0.000463
47782,8000,TCP,1400,out,0.000044
47782,8000,TCP,1400,out,0.000226
47782,8000,TCP,1400,out,0.000319
8000,47782,TCP,52,in,0.0002
47782,8000,TCP,1400,out,0.000252
47782,8000,TCP,1400,out,0.000292
8000,47782,TCP,52,in,0.000199
47782,8000,TCP,1400,out,0.000086
47782,8000,TCP,1400,out,0.000346
8000,47782,TCP,52,in,0.000106
47782,8000,TCP,1400,out,0.000136
8000,47782,TCP,52,in,0.000379
47782,8000,TCP,1400,out,0.000026
47782,8000,TCP,1400,out,0.00025
8000,47782,TCP,52,in,0.00044
47782,8000,TCP,1396,out,0.000083
47782,8000,TCP,1400,out,0.000251
8000,47782,TCP,52,in,0.000379
47782,8000,TCP,1400,out,0.000036
47782,8000,TCP,1400,out,0.000248
8000,47782,TCP,52,in,0.000387
47782,8000,TCP,1400,out,0.000036
47782,8000,TCP,1400,out,0.000303
8000,47782,TCP,52,in,0.000412
47782,8000,TCP,1400,out,0.000036
47782,8000,TCP,1400,out,0.000316
8000,47782,TCP,52,in,0.000373
47782,8000,TCP,1400,out,0.00003
47782,8000,TCP,1400,out,0.00028
